"_","ST","StateFIPS","Population","Deaths","U_C_Rate","_"
"","","","","","",""
"2010-2012, United States","","","","","",""
"Death Rates per 100,000 Population","","","","","",""
"All Injury, All Intents, All Races, All Ethnicities, Both Sexes, All Ages","","","","","",""
"Annualized Crude Rate for United States: 59.78","","","","","",""
"","","","","","",""
"","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  States with these rates are cross-hatched in the map (see legend above). Such rates have an asterisk.","","","","","",""
"","","","","","",""
"m816734 created 27DEC16:16:26     downloaded 03NOV19:02:41","","","","","",""
"","","","","","",""
"Types of Rates:    U_C_Rate = Unsmoothed, Crude Rate.","","","","","",""
"","","","","","",""
"","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","ST","StateFIPS","Population","Deaths","U_C_Rate",""
"","AL","1","14398915","10766","74.76952256",""
"","AK","2","2163884","1772","81.88978707",""
"","AZ","4","19421120","14326","73.76505577",""
"","AR","5","8803648","6787","77.09304143",""
"","CA","6","113018637","51072","45.18900719",""
"","CO","8","15340566","10545","68.73931509",""
"","CT","9","10758996","5671","52.7093792",""
"","DE","10","2722644","1640","60.23556513",""
"","DC","11","1857190","1087","58.52928349",""
"","FL","12","57264467","39242","68.52766132",""
"","GA","13","29419854","16916","57.49858582",""
"","HI","15","4131318","2229","53.95372615",""
"","ID","16","4746952","3144","66.2319737",""
"","IL","17","38563120","19236","49.88185603",""
"","IN","18","19537994","12151","62.19164567",""
"","IA","19","9187194","5470","59.53939799",""
"","KS","20","8609049","5776","67.09219567",""
"","KY","21","13092870","10944","83.58747929",""
"","LA","22","13714088","10052","73.29689003",""
"","ME","23","3984883","2470","61.98425399",""
"","MD","24","17509204","9386","53.60609197",""
"","MA","25","19815728","9075","45.79695482",""
"","MI","26","29644157","18135","61.17563066",""
"","MN","27","16032576","9199","57.37693057",""
"","MS","28","8931898","7265","81.33769553",""
"","MO","29","18024752","13453","74.63625574",""
"","MT","30","2992239","2602","86.95829444",""
"","NE","31","5524060","3043","55.08629522",""
"","NV","32","8174382","5556","67.96844092",""
"","NH","33","3955876","2365","59.78448263",""
"","NJ","34","26510508","11699","44.12967115",""
"","NM","35","6222180","5770","92.73277212",""
"","NY","36","58506987","24581","42.01378546",""
"","NC","37","28935166","18253","63.08240983",""
"","ND","38","2059538","1282","62.24696995",""
"","OH","39","34632162","22545","65.09844808",""
"","OK","40","11354937","9969","87.79441048",""
"","OR","41","11597402","7712","66.4976518",""
"","PA","42","38216417","25857","67.65940407",""
"","RI","44","3157224","1983","62.80834049",""
"","SC","45","14021039","10055","71.71365831",""
"","SD","46","2472855","1750","70.76840332",""
"","TN","47","19199671","15095","78.62113887",""
"","TX","48","76897460","41536","54.014788",""
"","UT","49","8434403","5332","63.21727809",""
"","VT","50","1878329","1303","69.37016891",""
"","VA","51","24304634","12557","51.66504462",""
"","WA","53","20442977","12049","58.9395566",""
"","WV","54","5564289","5474","98.37734884",""
"","WI","55","17120659","11003","64.26738597",""
"","WY","56","1708150","1480","86.64344466",""
