"","State","2015","2010","2000","2005"
"1","Alabama",4858979,4779735,4447100,4557808
"2","Alaska",738432,710231,626932,663661
"3","Arizona",6828065,6329013,5130632,5939292
"4","Arkansas",2978204,2915921,2673400,2779154
"5","California",39144818,37253956,33871648,36132147
"6","Colorado",5456574,5029196,4301261,4665177
"7","Connecticut",3590886,3574097,3405565,3510297
"8","Delaware",945934,897934,783600,843524
"9","Florida",20271272,18801311,15982378,17789864
"10","Georgia",10214860,9687653,8186453,9072576
"11","Hawaii",1431603,1360301,1211537,1275194
"12","Idaho",1654930,1567582,1293953,1429096
"13","Illinois",12859995,12830632,12419293,12763371
"14","Indiana",6619680,6483800,6080485,6271973
"15","Iowa",3123899,3046350,2926324,2966334
"16","Kansas",2911641,2853118,2688418,2744687
"17","Kentucky",4425092,4339362,4041769,4173405
"18","Louisiana",4649676,4515770,4468976,4523628
"19","Maine",1329328,1328361,1274923,1321505
"20","Maryland",6006401,5773552,5296486,5600388
"21","Massachusetts",6794422,6547629,6349097,6398743
"22","Michigan",9922576,9883635,9938444,10120860
"23","Minnesota",5489594,5303925,4919479,5132799
"24","Mississippi",2992333,2967297,2844658,2921088
"25","Missouri",6083672,5988927,5595211,5800310
"26","Montana",1032949,989415,902195,935670
"27","Nebraska",1896190,1826341,1711263,1758787
"28","Nevada",2890845,2700551,1998257,2414807
"29","New Hampshire",1330608,1316472,1235786,1309940
"30","New Jersey",8958013,8791894,8414350,8717925
"31","New Mexico",2085109,2059180,1819046,1928384
"32","New York",19795791,19378104,18976457,19254630
"33","North Carolina",10042802,9535475,8049313,8683242
"34","North Dakota",756927,672591,642200,636677
"35","Ohio",11613423,11536502,11353140,11464042
"36","Oklahoma",3911338,3751354,3450654,3547884
"37","Oregon",4028977,3831074,3421399,3641056
"38","Pennsylvania",12802503,12702379,12281054,12429616
"39","Rhode Island",1056298,1052567,1048319,1076189
"40","South Carolina",4896146,4625364,4012012,4255083
"41","South Dakota",858469,814180,754844,775933
"42","Tennessee",6600299,6346110,5689283,5962959
"43","Texas",27469114,25145561,20851820,22859968
"44","Utah",2995919,2763885,2233169,2469585
"45","Vermont",626042,625741,608827,623050
"46","Virginia",8382993,8001024,7078515,7567465
"47","Washington",7170351,6724540,5894121,6287759
"48","West Virginia",1844128,1852996,1808344,1816856
"49","Wisconsin",5771337,5686986,5363675,5536201
"50","Wyoming",586107,563626,493782,509294
